670.49 10285.57 2016-11-09 04:23:39
661.32 10285.57 2016-11-09 04:28:49
650.24 10285.57 2016-11-09 04:33:58
658.08 10285.57 2016-11-09 04:39:09
615.81 10285.57 2016-11-09 04:44:19
617.42 10285.57 2016-11-09 04:49:30
623.46 10285.57 2016-11-09 04:54:40
619.42 10285.57 2016-11-09 04:59:49
614.15 10285.57 2016-11-09 05:05:00
607.97 10285.57 2016-11-09 05:10:10
615.02 10285.57 2016-11-09 05:15:20
611.16 10285.57 2016-11-09 05:20:30
614.95 10285.57 2016-11-09 05:25:40
617.11 10285.57 2016-11-09 05:30:50
615.5 10285.57 2016-11-09 05:36:00
629.02 10285.57 2016-11-09 05:41:10
641.91 10285.57 2016-11-09 05:46:19
645.12 10285.57 2016-11-09 05:51:30
635.81 10285.57 2016-11-09 05:56:40
642.96 10285.57 2016-11-09 06:01:49
687.68 10285.57 2016-11-09 06:07:00
766.51 10285.57 2016-11-09 06:12:10
804.76 10285.57 2016-11-09 06:17:21
678.34 10285.57 2016-11-09 06:22:31
676.62 10285.57 2016-11-09 06:27:41
713.87 10285.57 2016-11-09 06:33:02
710.81 10285.57 2016-11-09 06:38:13
775.67 10285.57 2016-11-09 06:43:23
882.2 10285.57 2016-11-09 06:48:46
935.86 10285.57 2016-11-09 06:53:55
985.07 10285.57 2016-11-09 06:59:06
1126.04 10285.57 2016-11-09 07:04:30
1144.84 10285.57 2016-11-09 07:09:41
1305.6 10285.57 2016-11-09 07:14:51
1325.15 10285.57 2016-11-09 07:20:14
1390.12 10285.57 2016-11-09 07:25:24
1497.17 10285.57 2016-11-09 07:30:34
1476.67 10285.57 2016-11-09 07:35:45
1582.32 10285.57 2016-11-09 07:40:55
1767.94 10285.57 2016-11-09 07:46:05
1734.42 10285.57 2016-11-09 07:51:16
1869.64 10285.57 2016-11-09 07:56:26
2000.58 10285.57 2016-11-09 08:01:36
2060.62 10285.57 2016-11-09 08:06:46
2158.77 10285.57 2016-11-09 08:11:56
2080.4 10285.57 2016-11-09 08:17:07
2284.18 10285.57 2016-11-09 08:22:24
2311.64 10285.57 2016-11-09 08:27:34
2387.62 10285.57 2016-11-09 08:32:44
2552.39 10285.57 2016-11-09 08:37:54
2541.59 10285.57 2016-11-09 08:43:04
2406.54 10285.57 2016-11-09 08:48:14
2390.28 10285.57 2016-11-09 08:53:24
2317.53 10285.57 2016-11-09 08:58:35
2216.93 10285.57 2016-11-09 09:03:44
2164.23 10285.57 2016-11-09 09:08:54
2101.73 10285.57 2016-11-09 09:14:05
2060.17 10285.57 2016-11-09 09:19:14
2192.98 10285.57 2016-11-09 09:24:24
2147.03 10285.57 2016-11-09 09:29:34
2120.13 10285.57 2016-11-09 09:34:45
2102.38 10285.57 2016-11-09 09:39:55
2170.54 10285.57 2016-11-09 09:45:05
2220.19 10285.57 2016-11-09 09:50:15
2202.08 10285.57 2016-11-09 09:55:36
2120.76 10285.57 2016-11-09 10:00:46
2061.65 10285.57 2016-11-09 10:05:56
1994.04 10285.57 2016-11-09 10:11:07
2151.15 10285.57 2016-11-09 10:16:27
2068.57 10285.57 2016-11-09 10:21:37
2034.47 10285.57 2016-11-09 10:26:47
2010.58 10285.57 2016-11-09 10:31:57
2085.68 10285.57 2016-11-09 10:37:17
2230.19 10285.57 2016-11-09 10:42:27
2002.76 10285.57 2016-11-09 10:47:38
1963.62 10285.57 2016-11-09 10:52:48
2055.07 10285.57 2016-11-09 10:57:58
2198.31 10285.57 2016-11-09 11:03:08
2128.92 10285.57 2016-11-09 11:08:18
2047.18 10285.57 2016-11-09 11:13:27
